:ID|name:STRING|GO:STRING[]
AT4G17760|AT4G17760|GO:0000077,GO:0000077,GO:0003674,GO:0005634,GO:0005634,GO:0006281,GO:0030896
AT5G03990|AT5G03990|GO:0003674,GO:0005634,GO:0005634,GO:0006355,GO:0009266,GO:0009415,GO:0009651,GO:0033993
AT1G03457|BRN2|GO:0003729,GO:0005634,GO:0005737,GO:1990904,GO:1990904,GO:0003729,GO:0005737,GO:0006402,GO:0048573,GO:0048573,GO:2000028,GO:0003729,GO:0003729,GO:0005515
AT5G13180|NAC083|GO:0005634,GO:0003700,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0010089,GO:0045892,GO:0009651,GO:0009737,GO:0010150,GO:0005515,GO:0005515
AT1G10990|AT1G10990|GO:0003674,GO:0005634,GO:0005739,GO:0008150
AT5G50840|AT5G50840|GO:0005737,GO:0005737,GO:0019905,GO:0006396,GO:0007049,GO:0016049,GO:0016070,GO:0036211,GO:0043170
AT5G57870|eIFiso4G1|GO:0003729,GO:0003743,GO:0005634,GO:0005737,GO:0016281,GO:0005634,GO:0005737,GO:0003729,GO:0009536,GO:0003729,GO:0010035,GO:0016070,GO:0016192,GO:0033036,GO:0051641
AT5G46170|AT5G46170|GO:0003674,GO:0005634,GO:0010286
AT2G41680|NTRC|GO:0004791,GO:0009507,GO:0009507,GO:0019430,GO:0045454,GO:0004791,GO:0005515,GO:0008047,GO:0009507,GO:0016671,GO:0043085,GO:0045454,GO:0004791,GO:0042744,GO:0009507,GO:0008047,GO:0010380,GO:0043085,GO:0009570,GO:0008047,GO:0010581,GO:0043085,GO:0009570,GO:0009507,GO:0005829,GO:0005515
AT1G52695|AT1G52695|GO:0005737,GO:0008150,GO:0016787
AT4G07950|AT4G07950|GO:0001056,GO:0003676,GO:0003899,GO:0005634,GO:0005666,GO:0006351,GO:0006355,GO:0006386,GO:0008270,GO:0005634,GO:0005737
AT1G55270|SAGL1|GO:0005634,GO:0005634,GO:0005515,GO:2000762
AT5G04990|SUN1|GO:0005634,GO:0005635,GO:0043495,GO:0005635,GO:0005783,GO:0005515,GO:0005515,GO:0005515,GO:0005635,GO:0051260,GO:0051291,GO:0005635,GO:0005789,GO:0006997,GO:0009524,GO:0005515,GO:0005515,GO:0005515,GO:0005635,GO:0006997,GO:0043495,GO:0090435,GO:0005783,GO:0005515,GO:0005635,GO:0090435,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005635,GO:0005783,GO:0006997,GO:0043621,GO:0005515,GO:0005515,GO:0005635,GO:0070197,GO:2000769,GO:0005515,GO:0005515,GO:0005515
AT5G55690|AGL47|GO:0000978,GO:0000981,GO:0000981,GO:0000987,GO:0005634,GO:0005634,GO:0006357,GO:0045944,GO:0046983,GO:0003700,GO:0003700,GO:0006355
AT1G15760|AT1G15760|GO:0003674,GO:0009507,GO:0006996,GO:0009059,GO:0009416,GO:0009888,GO:0048316,GO:0051301
AT3G01670|AT3G01670|GO:0005634,GO:0009507,GO:0010088,GO:0005515,GO:0010088,GO:0042803,GO:0043621,GO:0005515,GO:0005515
AT5G09650|PPa6|GO:0000287,GO:0004427,GO:0006796,GO:0006796,GO:0009507,GO:0009941,GO:0004427,GO:0004427,GO:0009570,GO:0009570,GO:0004427,GO:0009579,GO:0009507,GO:0009570,GO:0009570,GO:0005829,GO:0009536,GO:0009507,GO:0005886,GO:0006629,GO:0009611,GO:0019761,GO:0022607,GO:0032787,GO:0033993,GO:0044271,GO:0046394,GO:0098542,GO:1901566,GO:1901605
AT2G39010|PIP2E|GO:0005886,GO:0005886,GO:0005886,GO:0015250,GO:0015250,GO:0015267,GO:0055085,GO:0009624,GO:0005886,GO:0005794,GO:0003729,GO:0006082,GO:0006833,GO:0009409,GO:0009414,GO:0009639,GO:0009651,GO:0009737,GO:0042538,GO:0044085,GO:0006833,GO:0015250,GO:0055085
AT1G22920|CSN5A|GO:0000338,GO:0005634,GO:0005737,GO:0008180,GO:0008237,GO:0019784,GO:0008180,GO:0009640,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0000338,GO:0010093,GO:0009733,GO:0010100,GO:0000338,GO:0010387,GO:0010971,GO:0031347,GO:0005515,GO:0005515
AT4G00780|AT4G00780|GO:0003674,GO:0005575,GO:0007623,GO:0009416,GO:0048367,GO:0065003
AT5G54580|ORRM2|GO:0003723,GO:0005739,GO:0080156,GO:0005739,GO:0005515,GO:0005515,GO:0005739,GO:0080156,GO:0003729,GO:0005515
AT3G03950|ECT1|GO:0003729,GO:0005634,GO:0005634,GO:0005634,GO:0005737,GO:0061157,GO:0005515,GO:0005515,GO:0005634,GO:0019722,GO:0003729,GO:0003729
